experiment_name,sigma,noise,eps,top_1_acc_train,top_1_acc_cert,top_1_acc_pred
cifar,0.25,Clean,0.0,0.93,0.9258,0.9258
cifar,0.25,Clean,0.030612244897959183,0.93,0.0,0.9258
cifar,0.25,Clean,0.061224489795918366,0.93,0.0,0.9258
cifar,0.25,Clean,0.09183673469387754,0.93,0.0,0.9258
cifar,0.25,Clean,0.12244897959183673,0.93,0.0,0.9258
cifar,0.25,Clean,0.15306122448979592,0.93,0.0,0.9258
cifar,0.25,Clean,0.18367346938775508,0.93,0.0,0.9258
cifar,0.25,Clean,0.21428571428571427,0.93,0.0,0.9258
cifar,0.25,Clean,0.24489795918367346,0.93,0.0,0.9258
cifar,0.25,Clean,0.2755102040816326,0.93,0.0,0.9258
cifar,0.25,Clean,0.30612244897959184,0.93,0.0,0.9258
cifar,0.25,Clean,0.336734693877551,0.93,0.0,0.9258
cifar,0.25,Clean,0.36734693877551017,0.93,0.0,0.9258
cifar,0.25,Clean,0.3979591836734694,0.93,0.0,0.9258
cifar,0.25,Clean,0.42857142857142855,0.93,0.0,0.9258
cifar,0.25,Clean,0.45918367346938777,0.93,0.0,0.9258
cifar,0.25,Clean,0.4897959183673469,0.93,0.0,0.9258
cifar,0.25,Clean,0.5204081632653061,0.93,0.0,0.9258
cifar,0.25,Clean,0.5510204081632653,0.93,0.0,0.9258
cifar,0.25,Clean,0.5816326530612245,0.93,0.0,0.9258
cifar,0.25,Clean,0.6122448979591837,0.93,0.0,0.9258
cifar,0.25,Clean,0.6428571428571428,0.93,0.0,0.9258
cifar,0.25,Clean,0.673469387755102,0.93,0.0,0.9258
cifar,0.25,Clean,0.7040816326530612,0.93,0.0,0.9258
cifar,0.25,Clean,0.7346938775510203,0.93,0.0,0.9258
cifar,0.25,Clean,0.7653061224489796,0.93,0.0,0.9258
cifar,0.25,Clean,0.7959183673469388,0.93,0.0,0.9258
cifar,0.25,Clean,0.826530612244898,0.93,0.0,0.9258
cifar,0.25,Clean,0.8571428571428571,0.93,0.0,0.9258
cifar,0.25,Clean,0.8877551020408163,0.93,0.0,0.9258
cifar,0.25,Clean,0.9183673469387755,0.93,0.0,0.9258
cifar,0.25,Clean,0.9489795918367346,0.93,0.0,0.9258
cifar,0.25,Clean,0.9795918367346939,0.93,0.0,0.9258
cifar,0.25,Clean,1.010204081632653,0.93,0.0,0.9258
cifar,0.25,Clean,1.0408163265306123,0.93,0.0,0.9258
cifar,0.25,Clean,1.0714285714285714,0.93,0.0,0.9258
cifar,0.25,Clean,1.1020408163265305,0.93,0.0,0.9258
cifar,0.25,Clean,1.1326530612244898,0.93,0.0,0.9258
cifar,0.25,Clean,1.163265306122449,0.93,0.0,0.9258
cifar,0.25,Clean,1.193877551020408,0.93,0.0,0.9258
cifar,0.25,Clean,1.2244897959183674,0.93,0.0,0.9258
